State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Kansas,Export,Water,million ton-miles,2012,0,0,0.003863
Kansas,Import,Air (include truck-air),million ton-miles,2012,0.053858,8.396197,0.04004
Kansas,Import,Multiple modes & mail,million ton-miles,2012,0,1008.191018,0
Kansas,Import,Other and unknown,million ton-miles,2012,0.007989,11.89718,0.000247
Kansas,Import,Pipeline,million ton-miles,2012,0,2832.823,0
Kansas,Import,Rail,million ton-miles,2012,0,747.442978,0
Kansas,Import,Truck,million ton-miles,2012,0.010094,518.58208,0
Kansas,Import,Water,million ton-miles,2012,0,0.00009,0
Kentucky,Domestic Only,Air (include truck-air),million ton-miles,2012,0,13.45027,45.968808
Kentucky,Domestic Only,Multiple modes & mail,million ton-miles,2012,87.422263,2494.040907,5703.91892
Kentucky,Domestic Only,Pipeline,million ton-miles,2012,1167.4116,16079.4925,17193.23402
Kentucky,Domestic Only,Rail,million ton-miles,2012,1427.7839,27154.59283,29293.4562
Kentucky,Domestic Only,Truck,million ton-miles,2012,5020.633411,26077.15404,26433.58109
Kentucky,Domestic Only,Water,million ton-miles,2012,5337.9052,7205.6614,19774.8991
Kentucky,Export,Air (include truck-air),million ton-miles,2012,0.664185,162.341369,39.420675
Kentucky,Export,Multiple modes & mail,million ton-miles,2012,0.000043,0.001796,834.760068
Kentucky,Export,Other and unknown,million ton-miles,2012,0.001168,0.03875,3.8899
Kentucky,Export,Rail,million ton-miles,2012,0,0,1278.950244
Kentucky,Export,Truck,million ton-miles,2012,0.099501,2.854639,1863.053941
Kentucky,Export,Water,million ton-miles,2012,0,0,1.798303
Kentucky,Import,Air (include truck-air),million ton-miles,2012,2.316069,22.013845,192.096703
Kentucky,Import,Multiple modes & mail,million ton-miles,2012,0.000726,1854.750287,0.0002
Kentucky,Import,Other and unknown,million ton-miles,2012,0.168434,57.464644,0.493011
Kentucky,Import,Pipeline,million ton-miles,2012,0,1541.8121,0
Kentucky,Import,Rail,million ton-miles,2012,0,1346.195565,0
Kentucky,Import,Truck,million ton-miles,2012,0.548887,1308.677485,2.213103
Kentucky,Import,Water,million ton-miles,2012,0,69.639479,0
Louisiana,Domestic Only,Air (include truck-air),million ton-miles,2012,0.000028,14.288839,9.150142
Louisiana,Domestic Only,Multiple modes & mail,million ton-miles,2012,397.806503,8817.287945,5343.881822
Louisiana,Domestic Only,Pipeline,million ton-miles,2012,10737.9198,53529.687,37615.29645
Louisiana,Domestic Only,Rail,million ton-miles,2012,260.9728,34542.7141,33146.7156
Louisiana,Domestic Only,Truck,million ton-miles,2012,5623.47163,19415.93376,26184.86549
Louisiana,Domestic Only,Water,million ton-miles,2012,2242.7707,45805.3344,48412.1676
Louisiana,Export,Air (include truck-air),million ton-miles,2012,0.020502,1.90079,10.393568
Louisiana,Export,Multiple modes & mail,million ton-miles,2012,447.604045,10465.0385,796.456545
Louisiana,Export,Other and unknown,million ton-miles,2012,0.046472,0.68524,1.765715
Louisiana,Export,Pipeline,million ton-miles,2012,285.150152,0,980.525974
Louisiana,Export,Rail,million ton-miles,2012,53.03144,11594.54371,2278.515364
Louisiana,Export,Truck,million ton-miles,2012,5536.549915,1627.590656,1859.555159
Louisiana,Export,Water,million ton-miles,2012,1942.983153,1414.627735,454.937642
Louisiana,Import,Air (include truck-air),million ton-miles,2012,0.022288,4.078629,0.263309
Louisiana,Import,Multiple modes & mail,million ton-miles,2012,102.766459,372.070766,1348.655888
Louisiana,Import,No domestic mode,million ton-miles,2012,0,0,0
Louisiana,Import,Other and unknown,million ton-miles,2012,8.821361,1.586756,184.970218
